iter	Passed	Remaining
0	3	391
1	7	362
2	10	354
3	13	328
4	17	326
5	20	321
6	23	315
7	27	310
8	30	306
9	33	304
10	36	297
11	39	288
12	41	278
13	43	267
14	45	257
15	47	248
16	48	238
17	50	229
18	51	220
19	53	213
20	54	206
21	56	198
22	57	191
23	58	185
24	59	179
25	61	173
26	61	167
27	62	161
28	63	156
29	65	151
30	66	147
31	67	142
32	68	138
33	69	134
34	70	130
35	71	126
36	72	122
37	73	119
38	73	115
39	74	112
40	75	108
41	75	104
42	76	101
43	77	98
44	78	95
45	79	92
46	79	90
47	80	87
48	81	84
49	82	82
50	83	79
51	83	77
52	84	75
53	85	72
54	85	70
55	86	68
56	87	66
57	88	64
58	89	62
59	90	60
60	90	58
61	91	56
62	92	54
63	93	52
64	94	50
65	95	49
66	96	47
67	97	45
68	97	44
69	98	42
70	99	40
71	100	39
72	101	37
73	102	36
74	103	34
75	104	33
76	105	31
77	106	30
78	107	28
79	108	27
80	109	25
81	111	24
82	112	23
83	113	21
84	115	20
85	116	18
86	117	17
87	118	16
88	119	14
89	120	13
90	121	12
91	122	10
92	124	9
93	125	7
94	126	6
95	127	5
96	128	3
97	129	2
98	131	1
99	132	0
