iter	Passed	Remaining
0	147	147341
1	149	74424
2	150	50114
3	152	37920
4	153	30602
5	155	25745
6	157	22391
7	159	19778
8	160	17724
9	162	16089
10	164	14746
11	165	13638
12	167	12683
13	168	11875
14	170	11171
15	171	10552
16	173	10012
17	174	9529
18	177	9187
19	179	8797
20	181	8452
21	182	8125
22	184	7829
23	185	7551
24	187	7293
25	188	7049
26	189	6827
27	190	6624
28	192	6441
29	193	6262
30	194	6087
31	195	5919
32	196	5763
33	197	5616
34	198	5475
35	199	5340
36	200	5214
37	201	5097
38	202	4985
39	203	4878
40	204	4782
41	206	4709
42	208	4634
43	209	4546
44	210	4466
45	211	4390
46	212	4318
47	214	4247
48	215	4179
49	216	4114
50	217	4052
51	219	4008
52	221	3963
53	223	3906
54	224	3851
55	225	3799
56	226	3747
57	227	3698
58	229	3652
59	230	3606
60	231	3563
61	232	3522
62	235	3502
63	237	3467
64	238	3430
65	239	3393
66	241	3357
67	242	3322
68	243	3289
69	245	3256
70	246	3225
71	247	3196
72	250	3175
73	251	3148
74	253	3120
75	254	3092
76	255	3066
77	257	3040
78	258	3014
79	259	2989
80	261	2964
81	263	2945
82	264	2922
83	266	2902
84	267	2880
85	268	2858
86	270	2837
87	271	2816
88	273	2797
89	274	2777
90	276	2763
91	278	2752
92	280	2738
93	282	2718
94	283	2700
95	284	2682
96	286	2664
97	287	2645
98	288	2627
99	290	2611
100	291	2597
101	293	2586
102	295	2571
103	296	2556
104	298	2541
105	299	2526
106	300	2511
107	302	2496
108	303	2481
109	304	2467
110	306	2454
111	308	2446
112	310	2434
113	311	2420
114	312	2407
115	314	2394
116	315	2379
117	316	2367
118	318	2356
119	319	2344
120	321	2334
121	322	2324
122	324	2315
123	326	2304
124	327	2293
125	329	2282
126	330	2269
127	331	2259
128	333	2252
129	335	2245
130	336	2235
131	338	2224
132	339	2212
133	340	2202
134	342	2192
135	343	2183
136	345	2173
137	346	2165
138	348	2160
139	350	2153
140	352	2144
141	353	2133
142	354	2124
143	355	2116
144	357	2108
145	359	2100
146	360	2091
147	362	2084
148	364	2081
149	366	2074
150	367	2066
151	369	2058
152	370	2051
153	372	2045
154	374	2040
155	375	2033
156	377	2028
157	379	2024
158	381	2017
